职位,职位诱惑,薪资,工作地点,工作经历,学历要求,工作种类,工作描述
Python高级开发工程师,"环境好,待遇优,福利好,人际简单",10k-20k,广州,经验3-5年,本科及以上,全职,"岗位职责：1、负责业务需求的设计、开发、测试及实施工作。2、参与研究业务、技术的发展方向及产品规划。3、带领开发组员进行系统的开发实施，确保交付进度及质量；4、解决开发组员提出的业务和技术问题；5、 完成上级交办的各项工作。 录用条件：1、精通掌握Python语言，有良好的代码风格和开发自测意识；2、熟悉WSGI标准，熟悉至少一种Python Web框架，如Django, Flask, Pyramid等；3、了解并掌握至少一种关系型数据库的常见操作；4、有云计算服务、授权认证、业务编排系统开发经验者优先；5、熟悉ElasticSearch, RabbitMQ, Redis等常用中间件服务的优先；6、有SDN相关工作经验者优先。7、有完整项目开发经验者优先；"
高级Python开发工程师,"美资企业,人工智能,深度学习,计算机视觉",12k-18k,西安,经验5-10年,本科及以上,全职,"工作职责：1、负责完成Python功能模块的设计、开发；2、负责单元测试，集成自动化测试；3、负责改进优化现有模块；4、对代码进行复查与测试，撰写开发文档；5、分析并解决软件开发过程中的问题；6、协助测试工程师制定测试计划，定位发现的问题；7 、配合项目管理人员完成相关任务目标。任职要求：1. 7年以上软件开发工作经验，至少3年Python服务器端开发经验，4年C/C++、Java等开发经验；2. 具备良好的编码习惯，有2年的Python面向对象设计经验；3. 精通Python语言，熟练使用常用模块，包括图片和视频处理；4. 精通Python服务端编程，精通多进程，多线程开发模式，Socket/Rest通信开发；5. 具备扎实的计算机理论基础，有较强的数据结构及算法基础，熟悉常用设计模式；6. 精通Docker，RabbitMQ或其它消息队列；7. 具有良好的自学能力，能通过研究开源项目来解决开发中遇到的难题；8. 熟练使用Linux、及MySQL数据库，有独立搭建系统的能力；9. 有开放平台开发经验者优先。以下为加分项：1、熟悉 C/C++、Java；2、了解深度学习框架（TensorFlow, Caffe等），有机器学习相关经验；3、熟悉流行云平台（如AWS、Azure等）的使用、调度；4、热爱人工智能行业。"
Python开发工程师,"期权,弹性时间,大牛多",10k-20k,北京,经验3-5年,本科及以上,全职,岗位职责：1 参与设计开发公司公有云，CDN，运营支持产品的后端开发工作；2 研究业内新技术，能对产品持续优化； 任职资格：1、 熟悉Python语言，熟悉计算机网络相关应用，2年以上工作经验；2、 熟悉Flask或Django Web开发框架， 熟悉HTML，CSS，JavaScript；3、 熟悉Linux开发，可进行基本的脚本编程和系统维护和监控；4、 熟悉MySQL，MongoDB，Redis等数据库，有相关开发经验；5、 熟悉JavaScript / Angularjs者优先；6、 有独立分析和解决问题的能力，有良好的团队合作精神。要求： 能够有担当精神，有努力奋斗，激情创业的勇气，拒绝平庸。
python工程师,"腾讯公有云,新技术",10k-15k,北京,经验3-5年,本科及以上,全职,岗位职责：1.负责完成业务模块的需求分析和系统设计；2.负责完成核心部分代码编写，解决项目中大部分技术难题；3.负责发现代码问题，完成单元测试；4.能够搭建部署weblogic中间件，熟悉oracle的部署及监控。任职要求：1.具备较强的文档编写能力和良好的文档规范性；2.熟悉掌握python开发；3.熟悉计算机软件开发流程、熟悉软件工程；4.具有较强的开发能力，需求分析、功能设计能力；5.熟悉JAVA 语言，有良好的编程习惯，掌握Struts，Hibernate，Spring，mybatis等开源框架原理；6.精通UML，熟练掌握UML设计工具；7.熟练掌握一种ORACLE数据库语言开发；8.熟练掌握操作系统Linux；9.熟练使用中间件Weblogic；10.良好的语言表达能力、沟通能力、较强的学习能力，主动意识强，较好的团队合作意识，熟悉oracle数据库，能够使用linux命令。
高级Python开发工程师,"六险一金,弹性工作,年终旅游,技术挑战",25k-35k,上海,经验5-10年,本科及以上,全职,"工作职责：1.负责云计算后台产品的研发与运营；2.负责云计算产品的后台管理系统研发；3.协助进行研发团队的技术指导工作。 职位要求： 1.本科及以上学历，计算机相关专业，五年以上后台开发工作经验；2. 精通Linux/Unix平台上的Python开发； 3. 熟悉关系型数据库，具备sql调优能力，了解nosql优先； 4.具备良好的分析解决问题能力,能独立承担任务和有系统进度把控能力;5.有良好的团队合作能力,富有工作激情，善于沟通,热爱开发事业。"
python开发,"公积金全额,年终奖,平台,大牛",10k-18k,上海,经验3-5年,本科及以上,全职,岗位要求：1、扎实的python基础；2、熟悉Linux常用命令，熟悉 jQuery；3、熟悉Flask/Django/Tornado框架中的一种；4、熟悉前端技术jquery，css，html，熟悉bootstrap框架；5、熟悉监控、自动化平台开发优先。
资深Python研发工程师,"弹性工作,硅谷文化,国际化团队,股权激励",15k-25k,苏州,经验3-5年,本科及以上,全职,工作内容：这个岗位需要和其他工程师以及外部合作伙伴一起，为对话系统构建各种基础架构层。 1.    具有独立项目管理能力，熟悉研发及协作流程；2.    具有系统设计及架构能力，自身系统拆分及外部对接；3.    设计和开发内部工具，帮助AI工程师加速工作；4.    良好的沟通协作技巧，能够involve其他人一起工作；5.    自主、独立设计、完成团队内部的工具、平台、创新技术产品。 任职要求1.    三年以上Python经验，有Django/Flask/Tornado等任一Web框架项目经验；2.    熟悉如 MySQL/Postgres 等关系数据库的开发、管理和调优；3.    熟悉 Mongodb，Redis等非关系型数据库；4.    熟练使用Linux（CentOS/Ubuntu）， 能在Linux环境下工作。福利待遇1.    和最优秀的科学家以及工程师团队一起工作，定期团建；2.    您会加入到一个年轻实力充沛的团队，来一同分享个人和公司快速成长的商业快感；3.    我们提供优厚的福利待遇，以及公司的期权激励；4.    远离办公室政治，你有技能、热情并且愿意努力，就来加入我们吧！5.    工作地点：苏州 或 上海
Python开发工程师,"外企环境,补充医疗,免费健身,年度体检",10k-20k,北京,经验1-3年,本科及以上,全职,"Your tasks：•Act as a developer in our SCRUM team•Develop software solutions for automated tests•Develop internal toolYour qualifications：Programming skills (Python, SQL, JavaScript)•Familiar with C++ or Java•Web development experience preferred•Experience in problem solving (IT) and a creative mindset•High levels of motivation and reliability•Fluent in English"
Python开发工程师,"带薪年假,五险一金,双休国假",8k-14k,南京,经验3-5年,大专及以上,全职,1、熟悉Linux和Windows操作系统。 2、精通python程序设计，熟悉Flask或Django等主流Python框架的开发； 3、熟悉TCP/IP网络、多线程、数据库等开发，有实际项目开发经验，有pandas，numpy等工具包经验。 4、熟悉SQL语句和mysql数据库。 5、熟悉git等常用开发辅助工具。
Python高级研发工程师,"五险一金,员工旅游,带薪假期,年底奖金",15k-30k,北京,经验5-10年,大专及以上,全职,岗位职责：1、海量数据的处理与分析；2、开发自动化工具；3、开发API接口共外部调用（高并发）4、持续优化项目、性能调优等5、参与项目的技术评审、代码评审等6、参与项目需求分析、业务逻辑流程设计，技术文档编写任职要求：1.、熟悉Python语言、掌握Django，Scrapy等框架；2、熟练运用Nginx、Mysql、Redis、Memcache等工具；3、熟悉Linux，熟练运用Linux的基本命令操作；4、熟悉HTTP协议；5、有大并发、分布式应用经验属于加分项；6、熟练运用JAVA、C、C++、.NET、Ruby等语言想转python者优先考虑；7、5年以上互联网开发工作经验；8、自我学习能力强，分析解决问题能力强，极具主动精神及创业精神，善于沟通交流，有责任感，有团队协作精神，对新技术敏感；
Python开发工程师,"五险一金,住房补贴,带薪休假,周末双休",12k-24k,北京,经验3-5年,本科及以上,全职,我们是一家来自北京和硅谷的互联网团队，团队虽有高大上背景的联合创始人（李一诺，前麦肯锡合伙人，目前盖茨基金会中国主席），但技术团队更多是一群源自草根、对未来教育和学习充满理想、想用个性化学习、社会化学习、麦肯锡管理和互联网技术改变中国教育的年轻人。1、负责产品的后端 RESTful 服务开发工作（使用Python语言）；2.、参与产品设计，与前端工程师、移动端工程师一同探讨技术方案；3、 持续改进现有代码以应对日益增长的多样化需求。1、本科及以上学历，3年以上工作经验；2、具备良好的计算机基础知识，了解常用的数据结构和算法；3、精通 Python 语言，有 Go 语言开发经验者优先；4、熟练掌握 Django 开发框架，有其它 Web 框架开发经验者优先；5、熟悉关系／非关系型数据库的使用，了解基本的设计、优化原则；6、熟悉 Linux 的使用和管理，了解操作系统相关知识。7、加分项：有代码洁癖爱折腾各类效率工具，爱手写脚本提高自己的生产力可无压力浏览英文文档和观看英语技术视频提供 Github，个人技术Blog提供任何其它能体现你能力和个性的作品公正、透明的考核机制，每年调薪机会提供每年 4K 成长费（有利于个人成长或工作的正版App、软件、书籍、健身卡等都可从这里面支出）每月 ￥500 餐补如果你在单位附近3.5KM内租房，提供每月 ￥500 房补每年 15 天年假单位不奢华，讲究舒适好用
Python高级开发攻城狮【珠...,"成熟团队,快速兑现,氛围活跃,领导好",15k-25k,广州,经验3-5年,本科及以上,全职,"岗位职责：1、负责公司量化交易平台的设计和开发维护2、负责封装C/C++底层类库，实现多语言混合开发3、不断提高团队的代码质量和工作效率，营造技术氛围 职位要求:1、1年以上Python经验，熟悉Django, Tornado, Flask框架中的至少一种，熟悉Web后端架构2、熟悉Linux平台环境的开发，掌握Linux常用命令 3、熟悉python网络编程，能够设计和维护基于TCP/IP协议的高性能事件驱动框架程序4、熟悉mysql、mongodb、redis等数据库使用 有下列经验的加分1、掌握scikit-learn等机器学习框架，并有相关经验加分2、有libevent、zeromq等实际项目经验加分我们将为您提供：0、终身快速科学上网服务（全球各地有SS节点）1、薪资：我们提供行业内有竞争力的薪酬；（BTW: 试用期是 100%薪资）2、奖金+提成：优秀的您可以共享公司的经营业绩，直接每月兑现公司总销售利润；3、基本保障福利：公司按照国家规定为员工实额缴纳社会保险；4、额外补充福利：* 晋升加薪类：每年有超过行业平均的加薪幅度，年底13-17个月月薪年终奖；* 礼金礼品类: 过节费、各类礼金等；* 员工关怀类: “家人生日会“(程序猿/媛的生日可以更加丰富多彩的）* 团队建设类：团队月度“腐败”活动+“每天充足的零食、选下午茶”+设备补贴（以补贴一个15寸高配rMBP的价格来每月返还）* 年度旅游+自由度大+提升空间大+快速成长期，等等!来了你就知道！注意：此岗位为技术部直聘岗位，暂时都是每周六天班（高福利，高效率，创业文化）不过我们有另外一些措施也改善下大家的上班体验1. 给予超市场回报的薪水（也提供更快加速度的涨薪幅度）2. 周六下午尽可能以组织技术分享交流为主3. 相对弹性上下班，请假制度，不鼓励加班，倡导高效开发文化。"
python工程师,五险一金,16k-20k,北京,经验3-5年,大专及以上,全职,岗位职责1、参与大数据产品的相关的需求分析、架构设计及开发；2、了解海量结构化和非结构化数据处理；3、辅助算法工程师训练模型和进行数据分析4、承担机器学习工程化等落地任务5、具有良好的代码习惯.任职要求1、计算机或相关专业、大专以上学历;至少3年python使用经验，精通mysql和redis缓存；2、熟悉网络编程，对TCP/IP，HTTP有深入理解；有使用python web框架开发的经验，例如 flask/django3、熟练使用正则表达式，精通网页数据提取；4、熟练使用Mysql，熟悉Nosql数据库如Redis等；
Python开发工程师,"周末双休,年终奖金,员工旅游,员工培训",5k-6k,南宁,经验不限,学历不限,全职,"你需要完成这样的工作：负责公司项目Python语言的开发及维护等。我们需要这样的你：(1)精通 Python 开发语言(2)熟悉 Git/nginx/Linux/Shell 等工具和环境(3)熟悉 Flask/Django/Tornado 等框架中的一个或多个(4)熟悉 mysql/mongodb/postgresql 等数据库中的一个或多个(5)熟悉 Redis/Memcached 等缓存的使用(6)良好的自学能力,以及团队沟通能力。(7)二年以上工作经验，编写过网络爬虫者优先。福利→五险，年底项目奖、带薪年假、月团队活动、年度旅游、双休、岗位晋升。→团队氛围好，无人际关系问题，同事都是年轻人好交流。公司网址：www.digimaple.com  www.yhz66.com工作地址：南宁市高新区科园西十路11号 "
高级Python开发工程师,"大牛多,快速发展期,业务好,17薪",30k-45k,北京,经验3-5年,本科及以上,全职,职位诱惑：广阔的成长空间挑战自己能力的极限您的每一项改进都造福千万用户为天朝的城镇化运动疯狂打Call 职位描述： 工作职责- 打造一套牛逼的城市车辆调度系统- 不断改进用车需求预测算法- 保证我们系统坚若磐石- 提升程序员的自我修养 工作要求- 有数据分析经验，有地理位置信息项目经验尤佳；- 熟悉常见数据结构和算法；- 有严密的逻辑推理能力，有创新的想法尤佳；- 熟悉Java/Python中的一种语言；- 有代码洁癖
Python开发工程师,"周末双休,法定节假日,六险一金,年底双薪",10k-20k,北京,经验3-5年,本科及以上,全职,岗位职责：1根据业务需求，可独立完成技术可行性报告、概要设计、详细设计、并撰写相关文档；并负责讲解相关设计；2. 搭建系统开发环境，完成系统框架与核心代码开发。任职要求：1.熟悉python语言服务端开发，2年以上开发经验；2.熟悉django/tornado等python框架，有大开发项目经验优先；3.熟悉memcache/redis/mongo等缓存技术；4.熟悉mysql数据库开发与优化；5.有良好的编程理念和项目架构设计；6.熟悉saltstack/puppet/ansible等开源运维工具，熟悉测试工具。
Python 开发工程师（一）,"五险一金,项目奖金,大平台,发展前景好",10k-18k,深圳,经验3-5年,学历不限,全职,"工作内容：根据公司业务要求及资产管理的需求，通过信息技术快速搭建业务管理平台，完成流程审批、交易管理、风险控制、数据统计功能模块，实现务业务运行的规范统一，减少人为失误，提高工作效率。岗位要求：1,熟悉Django一年以上，项目经验涉及核心模块，python经验三年以上2.负责后台开发，主流Django框架3.python技术基础扎实。"
高级python 开发工程师,"职位晋升,带薪年假,行业大拿,空间平台",12k-24k,北京,经验3-5年,本科及以上,全职,高级python 开发工程师你将面对的：1.团队里面没有所谓的天才，只有一个个愿意学习成长的普通人。so。你要问自己你要不要和我们一起成长2. 团队里面没有pythone大神，专业技术问题需要自己实践解决。但好在有一群热心群众可以出谋划策3. 这里的每一份工作内容都将是你完善自我，成长自我奠基石4. 你将面对最大的阻力是你自己的不完美主义基本技术要求：1. 热爱Python2. 熟练使用Django和Django Rest Framework3. 熟练使用mysql扩展技术要求：1. 第一要务dbaops平台建设2.熟悉数据库基本原理3.对监控系统有了解 zabbix elk4. 会写基本前端代码 jquery css html5. 熟练Tornado zeromq等工作地址: 朝阳区新源南路亮马桥
Python 开发工程师,"晋升空间大,七险一金,补充医疗,多次调薪",15k-25k,北京,经验3-5年,本科及以上,全职,"1、参与/负责Python Web Service的开发，为用户提供稳定可靠的服务2、参与/负责对上亿用户的行为分析，研发数据分析平台，个性化推荐系统等3、参与/负责研发人工智能的数据抓取、机器学习的自动化信息以及特征提取系统 1、4年以上实际Python项目开发实施工作经验2、熟悉python Web开发基础，如Flask，Django，Git操作，单元测试等 3、熟悉MySQL, redis，MongoDB等数据库，了解最新数据库发展趋势4、善于学习新技术、新语言，具有良好的分析和解决问题的能力 5、 有良好的沟通能力者、优秀的解决问题能力者优先6、有使用hadoop，hive，impala，spark，ElasticSearch等数据处理经验加分项：1. 对代码和设计质量有严格要求，重视Code Review，知道良好的编程习惯的标准2. 有领带技术团队，担任技术经理工作经历者优先3. 大数据开源项目贡献者优先"
Python高级开发工程师,"六险一金,弹性办公",18k-36k,北京,经验3-5年,本科及以上,全职," 工作描述：1. 矿池服务端项目的开发工作2. 对现有代码进行维护，对构架进行升级改进3. 设计系统API并与前端工程师对接开发4. 参与产品设计环节，制定合理的技术架构以及开发计划 岗位要求：1. 3年以上python开发经验2. 熟悉常见的存储系统，如mysql, redis, kafka ,mongo等3. 精通linux开发环境和流程4. 精通代码版本管理，分支开发等开发模式5. 良好的英文阅读能力6. 对代码有洁癖，对自己的代码质量负责"
python,"免费午晚餐,五险一金,交补,年终奖",20k-30k,北京,经验3-5年,本科及以上,全职,【岗位职责】1、参与需求分析，产品设计，功能开发； 2、负责系统平台的日常维护； 3、与团队技术交流，共同进步。【任职要求】1、大学本科以上学历，计算机等相关专业；2、两年以上python服务端开发经验，熟悉linux环境下的开发；3、熟悉MVC架构，精通Tornado、Django、Flask等至少一个开发框架； 4、参与或主导过百万用户以上级别的互联网项目者优先； 5、具备良好的编码习惯及开发文档书写习惯； 6、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力；
Python算法开发工程师,"年终奖金,节日福利,带薪年假,周末双休",20k-40k,南京,经验不限,本科及以上,全职,岗位职责：1. 负责机器学习-深度学习相关的研发工作以及在教育产品方向上的应用算法尝试；2. 负责与产品、开发一同将各种算法进行产品化。任职要求：1. 计算机、数学等相关专业，本科以上学历；2. 具备熟练python编程能力，熟悉机器学习相关的工具包；3. 语音相关领域英文文献阅读无障碍，具备中英文学术论文的调研能力，有从事研究型项目的经历；4. 对数据敏感，善于思考，具备不断发现并解决问题的能力；5. 工作踏实上进，有良好的团队合作意识。满足以下条件的优先考虑：1. 熟悉深度学习算法及其常用工具如TensorFlow；2. 有NLP方向研究与应用开发经验者。
Python开发工程师,"公司环境好,牛人聚集地,扁平化管理,晋升空间大",13k-26k,上海,经验1-3年,本科及以上,全职,岗位职责：1. 现有交易系统的优化与维护；2. 现有自动化策略的优化与维护；3. 协助金工开发新自动化策略。要求：1. 熟悉Python， 熟悉Linux Shell，熟悉操作系统，有分布式系统开发经验为佳。2. 对金融交易有一定了解，从事过交易系统开发者为佳。3. 熟悉数据结构与算法。4. 乐于学习。
Python研发工程师,"股票期权,扁平管理",15k-25k,上海,经验3-5年,本科及以上,全职,"职位描述1. 负责小程序或公众号的后台开发；2. 参与相关大数据产品的开发；3. 根据新需求进行方案设计和技术文档的编写；4. 相关软件模块的完善及性能调优工作。任职要求1. 本科及以上学历，3年以上互联网开发经验；2. 精通基于python的web端的程序设计。 至少熟悉flask、tornado或django中的一种mvc框架；3. 精通SQL编写，熟悉数据库技术，了解redis缓存技术；4. 熟悉Linux开发环境；5. 熟悉JavaScript、HTML、CSS；6. 思维严密，执行力强, 能承受一定的工作压力，有团队合作精神，能够在工作中有效沟通交流。"
Python开发工程师,"实力平台,背景雄厚,牛人云集,超级风口",15k-30k,成都,经验3-5年,本科及以上,全职,"岗位职责：1、负责后台系统的设计和开发工作。2、熟悉金融系统设计与开发者优先。任职要求:1、有坚实的计算机软硬件基础，熟练linux系统。2、扎实Python功底，有Flask/GEvent/Uvloop等使用经验优先。3、熟练数据库原理、熟练mysql，熟悉NoSql技术，熟练mongo,PostgreSQL者优先。4、熟悉TCP/IP协议，多进程与多线程编程、进程间通讯技术。5、对工作热情积极、对软件研发有深刻的理解，热爱学习、能迅速掌握相关领域知识。能独挡一面开发产品。6、有分布式系统设计开发经验优先。7、有强烈的上进心和求知欲，擅于学习新事物；"
python工程师,"项目奖金,年终奖金,团建福利,生日惊喜",10k-18k,苏州,经验3-5年,本科及以上,全职,岗位职责：开发公司的数据管理系统；任职要求：1、熟练使用Djando或者Flask框架；2、有web应用开发相关经验，有数据管理系统开发相关经验优先；3、2-3年以上python开发工作经验。
Python开发工程师,"15薪,13天年假,免费3餐,六险二金",25k-50k,北京,经验1-3年,本科及以上,全职,工作职责:1. 负责安全管理系统开发，实现安全日常工作的自动化2. 负责安全监控数据及业务日志的数据分析工作3. 负责风控系统开发，包括反爬虫、帐号安全、WAF等系统的开发工作4. 负责公司产品安全相关的功能模块的设计与开发任职资格:1. 熟练掌握常用数据结构和算法，并能灵活运用2. 精通一种或几种语言，PHP / Python / Go/JAVA 等 ； 3. 能承担较大工作压力，有较强独立分析，解决问题的能力4. 逻辑思维清晰，良好的文字和语言沟通表达能力5. 有激情和责任心，积极主动，具有良好的团队协作和对外沟通能力；6. 全日制本科及以上学历加分项1. 有大访问量处理开发经验2. 对nginx有深入的理解和熟悉lua开发3. 具有WAF、风控、数据防泄漏、大数据安全等研究和开发经验者优先； 
Python研发工程师,"固定14薪,七险一金,免费三餐,租房补贴",25k-50k,北京,经验5-10年,本科及以上,全职,职位诱惑：固定14薪、七险一金、股票期权、免费三餐、租房补贴、带薪休假岗位职责：1、负责数据后台服务的设计、开发、优化等研发工作；2、负责支撑业务的其他项目的开发和维护。任职要求：1、扎实的计算机基础，熟练掌握数据结构、算法、数据库、计算机网络、操作系统等基础知识；2、五年以上互联网产品后端开发经验，拥有Python开发经验者优先；3、熟悉MySQL、MongoDB等常用数据库，具有数据库开发和设计能力；4、了解异步框架、集群与负载均衡，消息中间件，容灾备份等技术；5、有全栈开发经验或大型在线服务开发经验优先；6、极强的学习能力和动力，对未知技术和领域能快速掌握并实践；7、有很强的学习能力、压力承担能力及团队合作能力，有主动性和上进心。
高级Python研发工程师（南京）,"团队牛,产品牛,五险一金,晋升",8k-12k,南京,经验3-5年,大专及以上,全职,岗位职责：1、负责公司商城服务器各条产品线研发工作2、负责公司新项目的技术选型，框架搭建等工作 岗位要求：1、本科及其以上学历，1年以上工作经验者2、扎实的计算机理论基础，包括算法、数据结构、面向对象、网络、操作系统、数据库3、熟练掌握1门以上的编程语言，并愿意掌握更多编程语言4、能够独立完成一个软件项目的开发、部署、交付流程5、逻辑性和责任心并重 技能要求：1、有Python开发经验，熟悉Python面向对象编程2、熟练使用Django/Flask/Tornado框架之一，进行项目开发3、有基于linux系统的开发经验4、熟悉使用Python操作mysql数据库、redis、rabbitmq进行项目开发5、熟悉mysql数据库，有数据库设计、性能优化经验6、有一定前端开发基础，能基于前端jquery、bootstrap框架开发功能7、精通分布式、多线程、异步及高性能设计、开发及优化 加分项目：1、熟悉电商相关的业务流程，包括商品管理，订单，购物车，活动，仓储，物流方面等内容2、有带领技术团队的经验3、对开源项目代码有过贡献或有深度理解4、有高可用系统开发经验，掌握分布式系统开发技术5、熟悉Linux系统，有系统优化经验6、熟悉使用Git管理代码
Python高级研发工程师-度...,团队氛围融洽，帅哥美女多，年假多，年终奖,20k-40k,北京,经验3-5年,本科及以上,全职,"工作职责：1. 负责开发分布式爬虫系统, 对抓取到的信息进行处理和分析. 2. 负责公司内部不同业务线之间的数据同步, 对数据按业务需求进行处理和转换.3. 负责旅游产品排序信息的计算, 供搜索引擎使用.4. 负责旅游产品各项售卖指标的统计计算与分析.任职资格：1. 2年以上python开发经验.2. 熟悉linux平台开发.3. 熟悉mysql或postgresql数据库.4. 大学本科以上学历.3. 有爬虫开发经验的优先.6. 有大规模数据处理经验的优先."
Python开发,"双休,弹性工作制,五险一金,年假",10k-18k,西安,经验5-10年,大专及以上,全职,"1,3年以上工作经验。2，精通Java和Python开发，主要以Python为主，有Web项目经验3，Can Read / Write email and documents in English.。"
高级Python开发,"弹性工作,团队激情",15k-25k,深圳,经验3-5年,本科及以上,全职,"岗位职责：1.公司产品后台技术架构设计、开发与维护；2. 优化现有后台技术架构,提高产品质量。岗位要求：1.深入理解/掌握1-2种主流的python类web框架/应用（django、flask、tornado、etc.)2.熟练掌握主流数据库， eg: MySQL, MongoDB, Redis etc.3.有大规模 RESTful 服务和 RPC 服务设计、开发经验4.了解前端HTML，javascript相关技术5.有极强的学习能力、压力承担能力及团队合作能力，有主动性和上进心 6.保持良好的代码风格，“代码洁癖”并不是什么问题7.扎实的计算机基础，熟练掌握数据结构、算法、计算机网络、操作系统等基础知识8.加分项：github项目；有移动端开发技能、经验；掌握Java、Golang、php中的一门或多门；使用hadoop，hive，impala，ElasticSearch等数据处理经验。"
python技术总监,"五险一金,绩效奖金,节日福利,年度旅游",25k-50k,北京,经验3-5年,大专及以上,全职,"岗位职责：1. 负责海量样本数据的提取，分析，挖掘，和总结2. 带领大数据技术团队分析和进行技术实现3. 新技术研究和应用，并推动适合的技术应用于生产对现有系统提出优化建议，并组织实施任职要求：1 、计算机相关专业，本科及以上学历2 、熟悉 Python 及常用的 Web 开发框架（ tornado 、 django 、 flask ），具有至少两年以上相关开发经验3 、对多线程、多进程、系统 IO ，程序优化有相关经验4 、熟悉分布式系统、能处理分布式同步异步问题5 、熟悉使用 zookeeper 、 RabbitMQ 、 ZeroMq 等6 、熟悉 Mysql 等关系型数据库 及 Redis 等 nosql 数据库使用7 、熟悉 Linux 操作系统、 TCP/IP, HTTP 等协议8 、良好的编码习惯和文档编写习惯9 、具有良好的学习能力和沟通能力，工作积极主动，具有强烈的责任心和团队合作精神加分项: 1 、具有 hadoop 、 hbase 、 spark 、 storm 使用经验者优先2 、对数据敏感，逻辑思维能力强，熟悉统计学基本原理和数据挖掘常用算法3 、具有较扎实的统计学理论背景，统计学等相关专业4 、有 redis 集群、 mongodb 集群、 hbase 集群、 elasticsearch 集群等运维经验"
高级python开发工程师,"行业前景好,发展空间大,有“钱”景",15k-25k,深圳,经验3-5年,大专及以上,全职,熟悉Django框架，项目经验涉及核心模块，python经验2年以上经验
python开发工程师,六险一金，高薪期权，弹性工作，免费三餐,20k-40k,北京,经验1-3年,本科及以上,全职,职位职责：1、负责字节跳动沟通系统研发，包括但不限于即时通讯(IM)工具； 2、负责效率工具的后台开发工作，具体包括需求分析、文档撰写、设计编码、测试运维、效果追踪等工作；3、负责高质量的设计和编码；承担重点、难点的技术攻坚；4、参与产品讨论和开发实现。5、主要语言为Python/Golang。职位要求：1、良好的设计和编码品味，热爱写代码； 2、较好的产品意识，愿意将产品效果做为工作最重要的驱动因素； 3、掌握WEB后端开发技术: 协议、架构、存储、缓存、安全等； 4、积极乐观，认真负责，乐于协作。
Python开发工程师,"发展空间,大牛交流,五险一金,福利补贴",15k-30k,上海,经验3-5年,本科及以上,全职,"职位诱惑：pytho,技术驱动职位描述：1-3年一线互联网公司/创业公司工作经验 熟悉Python和主流后端架构，有设计、实现、优化高可用web服务的经验 加分项： 1）有搜索引擎、推荐引擎后端架构经验； 2）有SaaS后端架构经验； 3）有基于TensorFlow提供在线服务的经验。我们希望你1.最好是python程序员，3年左右开发经验2.最好有人工智能领域相关公司的经验，如果没有也没关系（可以是游戏公司出来的，做过聊天模块，对文字处理有经验的都可以）"
Python开发工程师,"平台大,大牛多,氛围好",10k-20k,成都,经验1-3年,本科及以上,全职,岗位描述：1.负责现有python项目的维护，新功能开发、完善、重构、以及项目整合。  2.参与大数据数据仓库，智能审批催收等项目项目的开发。任职要求：1.良好的python编码规范；2.两年以上python开发项目实际工作经验；3.熟悉flask等web框架，了解celery等任务调度框架；4.了解基于docker环境的应用开发和部署；5.具备数据库设计能力，精通掌握MySql/Redis；6.熟悉linux操作系统，熟悉shell脚本7.本科及以上学历；8.具有优秀的团队合作和沟通协作能力；
